pol,text
neutral,Picturehouse's Pink Floyd's 'Roger Waters: The Walll - opening 29 Sept is now making waves. Watch the trailer on Rolling Stone - look...	
neutral,Order Go Set a Watchman in store or through our website before Tuesday and get it half price! #GSAW @GSAWatchmanBook https://t.co/KET6EGD1an	
negative,If these runway renovations at the airport prevent me from seeing Taylor Swift on Monday Bad Blood will have a new meaning.	
neutral,If you could ask an onstage interview question at Miss USA tomorrow what would it be?	
positive,A portion of book sales from our Harper Lee/Go Set a Watchman release party on Mon. 7/13 will support @CAP_Tulsa and the great work they do.	
positive,Excited to read Go Set a Watchman on Tuesday.  But can it possibly live up to To Kill a Mockingbird?  Any opinions?	
positive,Watching Miss USA tomorrow JUST to see @TravisGarland perform I'm obsessed with his voice	
neutral,Tune-in for the 2015 MISS USA Pageant on ReelzChannel on Sunday July 12 at 8p ET/5p PT. Contestants from all 50... http://t.co/M3kJowOvQ1	
positive,Call for reservations for lunch or dinner tomorrow (yep Sunday!). Happy to accommodate guests in town for the MISS USA Pageant 346-5100	
neutral,Miss Universe Org prez tells me #Trump won't attend Sunday's Miss USA event He's missed some in the past but he said recently he'd be here	
neutral,Trump said June 30th that he'd be at Miss USA pageant in Baton Rouge. Organizers say he's not coming. No word yet from his camp on his plans	
neutral,Haven't read To Kill a Mockingbird in years. That may be a good thing for when I read Go Set a Watchman. Might make it less heartbreaking.	
neutral,Did you know that @ReelzChannel is airing Miss USA tomorrow? Here's why: http://t.co/Dj3a2snztd	
neutral,I've read the book several times so watching To Kill A Mockingbird as a refresher before To Set a Watchman novel is released on Tuesday	
positive,Tomorrow 51beautiful women from all over the USA come together to compete for one crown and one title of Miss USA... http://t.co/b8lFE7naZS	
neutral,Miss USA tomorrow is either going to be the most watched show in 20 years or the least watched show in 20 years.	
neutral,REELZ is going to broadcast Miss USA tomorrow finally someone is brave enough to step up. NBC's liberal ways has got to go!!!	
neutral,George Osborne is the Master of all he surveys...except the economy                                http://t.co/y6GkTxi2dL	
neutral,Here's the first chapter of Go Set a Watchman for all of you readers out there http://t.co/EpZu12hHFJ	
neutral,Donald Trump: 'I will not be able to attend the Miss USA pageant tomorrow night because I am https://t.co/HY5h78L0IB #breaking-news	
positive,I want it to be tomorrow so I can watch miss USA	
neutral,UofL Volleyball Player @katiegeorge05 tomorrow night as she competes in the Miss USA Pageant. http://t.co/jQy7CfYzD1	
positive,(1/2) Judge me if you want but Ima make sure I don't miss the Miss USA pageant tomorrow . There's nothing like watching beautiful women...	
positive,Good vibes to @Rashontae @RealMissMIusa as she competes for Miss USA 2015 tomorrow July 12th in Baton Rouge!  https://t.co/iSMqFrKQtC	
neutral,Will not be at the Miss USA pageant tomorrow. Campaigning in New Mexico. Or as I like to call it Legal Mexico	
positive,No. It's okay. You can go attend Miss USA! Trust me you should DEFINITELY attend Miss USA. https://t.co/CWuf7ZIJII	
neutral,Obama is gonna be at the Illegal Miss USA pageant tomorrow. https://t.co/jZ107vMJZM	
